provinsi,kode_prov,tahun,bulan,nama_bulan,urutan,akun,anggaran,realisasi,persentase
Sumatera Utara,02,2023,1,Januari,34,Penyertaan Modal Daerah,165890750565.0,0.0,0.0
Sumatera Utara,02,2023,1,Januari,35,Pembayaran Cicilan Pokok Utang yang Jatuh Tempo,98358423840.0,4372636997.0,4.45
Sumatera Utara,02,2023,1,Januari,36,Pemberian Pinjaman Daerah,1000000000.0,0.0,0.0
Sumatera Utara,02,2023,1,Januari,37,Pengeluaran Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,2312591400.0,0.0,0.0
Sumatera Utara,02,2023,2,Februari,1,Pendapatan Daerah,61105354772185.0,6529542299230.1,10.69
Sumatera Utara,02,2023,2,Februari,2,PAD,16165041109374.0,1482188932571.6,9.17
Sumatera Utara,02,2023,2,Februari,3,Pajak Daerah,12883310054009.0,1277408018458.3,9.92
Sumatera Utara,02,2023,2,Februari,4,Retribusi Daerah,706571711347.0,35521322937.63,5.03
Sumatera Utara,02,2023,2,Februari,5,Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,712889250364.0,19540000000.0,2.74
Sumatera Utara,02,2023,2,Februari,6,Lain-Lain PAD yang Sah,1862270093654.0,149719591175.6,8.04
Sumatera Utara,02,2023,2,Februari,7,TKDD,41293751175820.0,5015090123871.0,12.14
Sumatera Utara,02,2023,2,Februari,8,Pendapatan Transfer Pemerintah Pusat,41293751175820.0,5015090123871.0,12.14
Sumatera Utara,02,2023,2,Februari,9,Pendapatan Lainnya,3646562486991.2,32263242787.57,0.88
Sumatera Utara,02,2023,2,Februari,10,Pendapatan Hibah,193940776682.0,900016519.0,0.46
Sumatera Utara,02,2023,2,Februari,11,Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,537116210245.0,31363226268.57,5.84
Sumatera Utara,02,2023,2,Februari,12,Pendapatan Transfer Antar Daerah,2915505500064.2,0.0,0.0
Sumatera Utara,02,2023,2,Februari,13,Belanja Daerah,64005510298886.0,3429720341147.5,5.36
Sumatera Utara,02,2023,2,Februari,14,Belanja Pegawai,22359293137225.0,2182769334532.2,9.76
Sumatera Utara,02,2023,2,Februari,15,Belanja Pegawai,22359293137225.0,2182769334532.2,9.76
Sumatera Utara,02,2023,2,Februari,16,Belanja Barang dan Jasa,16101429369457.0,486578637196.33,3.02
Sumatera Utara,02,2023,2,Februari,17,Belanja Barang dan Jasa,16101429369457.0,486578637196.33,3.02
Sumatera Utara,02,2023,2,Februari,18,Belanja Modal,11987672019419.0,221914279920.0,1.85
Sumatera Utara,02,2023,2,Februari,19,Belanja Modal,11987672019419.0,221914279920.0,1.85
Sumatera Utara,02,2023,2,Februari,20,Belanja Lainnya,13557115772785.0,538458089499.0,3.97
Sumatera Utara,02,2023,2,Februari,21,Belanja Bagi Hasil,2873089860847.0,3340200000.0,0.12
Sumatera Utara,02,2023,2,Februari,22,Belanja Bantuan Keuangan,6683087417910.0,167595068509.0,2.51
Sumatera Utara,02,2023,2,Februari,23,Belanja Bunga,75422206842.0,11339186371.0,15.03
Sumatera Utara,02,2023,2,Februari,24,Belanja Subsidi,2687500000.0,0.0,0.0
Sumatera Utara,02,2023,2,Februari,25,Belanja Hibah,3218749116079.0,303853191180.0,9.44
Sumatera Utara,02,2023,2,Februari,26,Belanja Bantuan Sosial,186745586010.0,107380000.0,0.06
Sumatera Utara,02,2023,2,Februari,27,Belanja Tidak Terduga,517334085097.0,52223063439.0,10.09
Sumatera Utara,02,2023,2,Februari,28,Pembiayaan Daerah,2900155526701.0,2742607104131.7,94.57
Sumatera Utara,02,2023,2,Februari,29,Penerimaan Pembiayaan Daerah,3167717292506.0,2752352378125.7,86.89
Sumatera Utara,02,2023,2,Februari,30,Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,3124606649223.0,2752349202107.7,88.09
Sumatera Utara,02,2023,2,Februari,31,Penerimaan Pinjaman Daerah,41710643283.0,0.0,0.0
Sumatera Utara,02,2023,2,Februari,32,Penerimaan Kembali Pemberian Pinjaman Daerah,1400000000.0,3176018.0,0.23
Sumatera Utara,02,2023,2,Februari,33,Pengeluaran Pembiayaan Daerah,267561765805.0,9745273994.0,3.64
Sumatera Utara,02,2023,2,Februari,34,Penyertaan Modal Daerah,165890750565.0,0.0,0.0
Sumatera Utara,02,2023,2,Februari,35,Pembayaran Cicilan Pokok Utang yang Jatuh Tempo,98358423840.0,8745273994.0,8.89
Sumatera Utara,02,2023,2,Februari,36,Pemberian Pinjaman Daerah,1000000000.0,1000000000.0,100.0
Sumatera Utara,02,2023,2,Februari,37,Pengeluaran Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,2312591400.0,0.0,0.0
Sumatera Utara,02,2023,3,Maret,1,Pendapatan Daerah,61105354772185.0,10343882629033.0,16.93
Sumatera Utara,02,2023,3,Maret,2,PAD,16165041109374.0,2889337290404.7,17.87
Sumatera Utara,02,2023,3,Maret,3,Pajak Daerah,12883310054009.0,1978269839470.6,15.36
Sumatera Utara,02,2023,3,Maret,4,Retribusi Daerah,706571711347.0,61613024474.88,8.72
Sumatera Utara,02,2023,3,Maret,5,Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,712889250364.0,581174671168.0,81.52
Sumatera Utara,02,2023,3,Maret,6,Lain-Lain PAD yang Sah,1862270093654.0,268279755291.2,14.41
Sumatera Utara,02,2023,3,Maret,7,TKDD,41293751175820.0,7085869755808.0,17.16
Sumatera Utara,02,2023,3,Maret,8,Pendapatan Transfer Pemerintah Pusat,41293751175820.0,7085869755808.0,17.16
Sumatera Utara,02,2023,3,Maret,9,Pendapatan Lainnya,3646562486991.2,368675582820.57,10.11
Sumatera Utara,02,2023,3,Maret,10,Pendapatan Hibah,193940776682.0,3560952505.0,1.84
Sumatera Utara,02,2023,3,Maret,11,Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,537116210245.0,54264271801.57,10.1
Sumatera Utara,02,2023,3,Maret,12,Pendapatan Transfer Antar Daerah,2915505500064.2,310850358514.0,10.66
Sumatera Utara,02,2023,3,Maret,13,Belanja Daerah,64005510298886.0,6466927249424.7,10.1
Sumatera Utara,02,2023,3,Maret,14,Belanja Pegawai,22359293137225.0,3309318794733.6,14.8
Sumatera Utara,02,2023,3,Maret,15,Belanja Pegawai,22359293137225.0,3309318794733.6,14.8
