unique_id,ds,y
Aceh | Belanja Subsidi,2024-08-01,810000000.0
Aceh | Belanja Subsidi,2024-09-01,180000000.0
Aceh | Belanja Subsidi,2024-10-01,15000000.0
Aceh | Belanja Subsidi,2024-11-01,60000000.0
Aceh | Belanja Subsidi,2024-12-01,2532500000.0
Aceh | Belanja Subsidi,2025-01-01,0.0
Aceh | Belanja Subsidi,2025-02-01,0.0
Aceh | Belanja Subsidi,2025-03-01,120000000.0
Aceh | Belanja Subsidi,2025-04-01,0.0
Aceh | Belanja Subsidi,2025-05-01,200000000.0
Aceh | Belanja Subsidi,2025-06-01,0.0
Aceh | Belanja Subsidi,2025-07-01,2524410000.0
Aceh | Belanja Subsidi,2025-08-01,1497400000.0
Aceh | Belanja Subsidi,2025-09-01,125000000.0
Aceh | Belanja Subsidi,2025-10-01,156175000.0
Aceh | Belanja Subsidi,2025-11-01,25000000.0
Aceh | Belanja Subsidi,2025-12-01,375000000.0
Aceh | Belanja Subsidi,2026-01-01,0.0
Aceh | Belanja Subsidi,2026-02-01,0.0
Aceh | Belanja Subsidi,2026-03-01,0.0
Aceh | Belanja Subsidi,2026-04-01,0.0
Aceh | Belanja Subsidi,2026-05-01,0.0
Aceh | Belanja Subsidi,2026-06-01,3959500000.0
Aceh | Belanja Tidak Terduga,2024-01-01,0.0
Aceh | Belanja Tidak Terduga,2024-02-01,0.0
Aceh | Belanja Tidak Terduga,2024-03-01,0.0
Aceh | Belanja Tidak Terduga,2024-04-01,0.0
Aceh | Belanja Tidak Terduga,2024-05-01,0.0
Aceh | Belanja Tidak Terduga,2024-06-01,0.0
Aceh | Belanja Tidak Terduga,2024-07-01,0.0
Aceh | Belanja Tidak Terduga,2024-08-01,0.0
Aceh | Belanja Tidak Terduga,2024-09-01,0.0
Aceh | Belanja Tidak Terduga,2024-10-01,0.0
Aceh | Belanja Tidak Terduga,2024-11-01,0.0
Aceh | Belanja Tidak Terduga,2024-12-01,19848398.45
Aceh | Belanja Tidak Terduga,2025-01-01,0.0
Aceh | Belanja Tidak Terduga,2025-02-01,0.0
Aceh | Belanja Tidak Terduga,2025-03-01,0.0
Aceh | Belanja Tidak Terduga,2025-04-01,0.0
Aceh | Belanja Tidak Terduga,2025-05-01,0.0
Aceh | Belanja Tidak Terduga,2025-06-01,0.0
Aceh | Belanja Tidak Terduga,2025-07-01,0.0
Aceh | Belanja Tidak Terduga,2025-08-01,0.0
Aceh | Belanja Tidak Terduga,2025-09-01,0.0
Aceh | Belanja Tidak Terduga,2025-10-01,0.0
Aceh | Belanja Tidak Terduga,2025-11-01,102671394.0
Aceh | Belanja Tidak Terduga,2026-01-01,0.0
Aceh | Belanja Tidak Terduga,2026-02-01,0.0
Aceh | Belanja Tidak Terduga,2026-03-01,0.0
Aceh | Belanja Tidak Terduga,2026-04-01,0.0
Aceh | Belanja Tidak Terduga,2026-05-01,0.0
Aceh | Belanja Tidak Terduga,2026-06-01,19387841937.0
Aceh | Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,2023-01-01,0.0
Aceh | Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,2023-02-01,0.0
Aceh | Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,2023-03-01,0.0
Aceh | Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,2023-04-01,251474715927.0
Aceh | Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,2023-05-01,0.0
Aceh | Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,2023-06-01,0.0
Aceh | Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,2023-07-01,1249085765.8299866
Aceh | Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,2024-01-01,0.0
Aceh | Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,2024-02-01,0.0
Aceh | Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,2024-03-01,0.0
Aceh | Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,2024-04-01,0.0
Aceh | Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,2024-05-01,240975497877.0
Aceh | Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,2024-06-01,0.0
